,OrphaNumber,Disorder_Name,Category
2290,35706,Glutaric acidemia type 3,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare transplant-related disorders
2291,35708,Aromatic L-amino acid decarboxylase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
2292,35710,Glucose-galactose malabsorption,rare inborn errors of metabolism|rare gastroenterological diseases|rare genetic diseases|rare transplant-related disorders
2293,35737,Morning glory disc anomaly,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders
2294,35807,Malignant germ cell tumor of ovary,rare neoplastic diseases|rare gynecological and obstetric diseases|rare transplant-related disorders|Classification of pediatric cancer (Functional)
2295,35808,Malignant sex cord stromal tumor of ovary,rare neoplastic diseases|rare gynecological and obstetric diseases
2296,35858,Imerslund-Gräsbeck syndrome,rare inborn errors of metabolism|rare gastroenterological diseases|rare genetic diseases|rare renal diseases|rare hematological diseases
2297,35878,Hyperinsulinism-hyperammonemia syndrome,rare inborn errors of metabolism|rare genetic diseases|rare endocrine diseases
2298,35889,Acute opioid intoxication,rare disorders due to toxic effects
2299,35909,Combined deficiency of factor V and factor VIII,rare genetic diseases|rare hematological diseases
2300,35981,Polymicrogyria,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
2301,36204,Intestinal lymphangiectasia,rare gastroenterological diseases
2302,36234,Bacterial toxic-shock syndrome,rare infectious diseases
2303,36235,Staphylococcal scarlet fever,rare infectious diseases
2304,36236,Staphylococcal scalded skin syndrome,rare infectious diseases
2305,36237,Bullous impetigo,rare skin diseases|rare infectious diseases
2306,36238,Staphylococcal necrotizing pneumonia,rare respiratory diseases|rare infectious diseases
2307,36258,Buerger disease,rare renal diseases|rare systemic and rheumatological diseases|rare circulatory system diseases|rare transplant-related disorders
2308,36273,Gastric linitis plastica,rare gastroenterological diseases|rare neoplastic diseases
2309,36355,Bleeding disorder due to P2Y12 defect,rare genetic diseases|rare hematological diseases
2310,36367,Distal deletion 1q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
2311,36383,COL4A1/2-related familial vascular leukoencephalopathy,rare genetic diseases|rare neurological diseases
2312,36386,Hereditary sensory and autonomic neuropathy type 1,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
2313,36387,Genetic epilepsy with febrile seizure plus,rare genetic diseases|rare neurological diseases
2314,36388,Paraneoplastic neurologic syndrome,rare neurological diseases
2315,36397,Adiposis dolorosa,rare skin diseases
2316,36412,Hypocomplementemic urticarial vasculitis,rare genetic diseases|rare renal diseases|rare systemic and rheumatological diseases|rare circulatory system diseases|rare systemic or rheumatologic diseases of childhood|rare transplant-related disorders
2317,36426,Stevens-Johnson syndrome,rare skin diseases
2318,36899,Myoclonus-dystonia syndrome,rare genetic diseases|rare neurological diseases
2319,36913,Autoimmune hypoparathyroidism,rare endocrine diseases
2320,37042,Immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome,rare gastroenterological diseases|rare genetic diseases|rare endocrine diseases|rare immunological diseases|rare transplant-related disorders
2321,37202,Interstitial cystitis,rare urogenital diseases
2322,37553,Andersen-Tawil syndrome,rare cardiac diseases|rare genetic diseases|rare neurological diseases
2323,37559,Acquired kinky hair syndrome,rare skin diseases
2324,37612,Episodic ataxia type 1,rare genetic diseases|rare neurological diseases
2325,37748,Schnitzler syndrome,rare systemic and rheumatological diseases
2326,38874,Dihydropyrimidinuria,rare inborn errors of metabolism|rare genetic diseases
2327,39041,Omenn syndrome,rare genetic diseases|rare immunological diseases|rare transplant-related disorders
2328,39044,Uveal melanoma,rare ophthalmic disorders|rare neoplastic diseases
2329,39812,Graft versus host disease,rare immunological diseases|rare transplant-related disorders
2330,40366,Acitretin/etretinate embryopathy,rare developmental anomalies during embryogenesis|rare disorders due to toxic effects|rare teratologic disorders
2331,40923,Eales disease,rare genetic diseases|rare ophthalmic disorders
2332,41751,Bietti crystalline dystrophy,rare genetic diseases|rare ophthalmic disorders
2333,42062,Iminoglycinuria,rare inborn errors of metabolism|rare genetic diseases
2334,42642,PFAPA syndrome,rare systemic and rheumatological diseases|rare systemic or rheumatologic diseases of childhood
2335,42665,Tietz syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare otorhinolaryngological diseases
2336,42738,Severe congenital neutropenia,rare genetic diseases|rare immunological diseases|rare transplant-related disorders
2337,42775,PHACE syndrome,rare developmental anomalies during embryogenesis|rare cardiac malformations|rare genetic diseases|rare neurological diseases|rare circulatory system diseases|rare neoplastic diseases
2338,43115,Hereditary myopathy with lactic acidosis due to ISCU deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
2339,43116,Serotonin syndrome,rare neurological diseases
2340,43117,Acute tricyclic antidepressant poisoning,rare disorders due to toxic effects
2341,43119,Acute poisoning by drugs with membrane-stabilizing effect,rare disorders due to toxic effects
2342,43393,Lambert-Eaton myasthenic syndrome,rare neurological diseases
2343,44890,Gastrointestinal stromal tumor,rare gastroenterological diseases|rare genetic diseases|rare neoplastic diseases|rare transplant-related disorders
2344,45358,Congenital fibrosis of extraocular muscles,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
2345,45448,Miyoshi myopathy,rare genetic diseases|rare neurological diseases
2346,45452,Idiopathic neonatal atrial flutter,rare cardiac diseases
2347,45453,Incessant infant ventricular tachycardia,rare cardiac diseases
2348,46059,Lathosterolosis,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
2349,46135,Primary central nervous system lymphoma,rare neurological diseases|rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
2350,46348,Paroxysmal extreme pain disorder,rare genetic diseases|rare neurological diseases
2351,46484,Oligodendroglial tumor,rare neurological diseases|rare neoplastic diseases
2352,46485,Superficial pemphigus,rare skin diseases
2353,46486,Mucous membrane pemphigoid,rare developmental anomalies during embryogenesis|rare skin diseases|rare ophthalmic disorders
2354,46487,Epidermolysis bullosa acquisita,rare skin diseases
2355,46488,Linear IgA dermatosis,rare skin diseases
2356,46532,Hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome,rare genetic diseases|rare hematological diseases|rare transplant-related disorders
2357,46627,Char syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
2358,46724,Cerebral arteriovenous malformation,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare circulatory system diseases
2359,47044,Hereditary papillary renal cell carcinoma,rare genetic diseases|rare renal diseases|rare neoplastic diseases
2360,47045,Familial cold urticaria,rare genetic diseases|rare skin diseases|rare immunological diseases|rare systemic and rheumatological diseases|rare systemic or rheumatologic diseases of childhood
2361,47159,Proximal renal tubular acidosis,rare genetic diseases|rare renal diseases
2362,47612,Felty syndrome,rare immunological diseases|rare systemic and rheumatological diseases
2363,48104,Pyoderma gangrenosum,rare genetic diseases|rare skin diseases|rare systemic and rheumatological diseases
2364,48162,Lewis-Sumner syndrome,rare neurological diseases
2365,48372,Nodular regenerative hyperplasia of the liver,rare hepatic diseases|rare transplant-related disorders
2366,48377,Subcorneal pustular dermatosis,rare skin diseases
2367,48431,Congenital cataracts-facial dysmorphism-neuropathy syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
2368,48435,Postinfectious vasculitis,rare neurological diseases|rare systemic and rheumatological diseases|rare circulatory system diseases|rare systemic or rheumatologic diseases of childhood
2369,48471,Lissencephaly,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
2370,48652,Phelan-McDermid syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare circulatory system diseases
2371,48686,Primary effusion lymphoma,rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
2372,48736,Embryonal carcinoma of the central nervous system,rare neurological diseases|rare neoplastic diseases|rare transplant-related disorders|Classification of pediatric cancer (Functional)
2373,48818,Aceruloplasminemia,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare hematological diseases
2374,48918,Focal myositis,rare neurological diseases|rare systemic and rheumatological diseases
2375,49041,IgG4-related retroperitoneal fibrosis,rare abdominal surgical diseases|rare systemic and rheumatological diseases
2376,49042,Dentinogenesis imperfecta,rare genetic diseases|rare odontological diseases
2377,49382,Achromatopsia,rare genetic diseases|rare ophthalmic disorders
2378,49566,Acquired purpura fulminans,rare hematological diseases
2379,49804,Lichen amyloidosis,rare skin diseases
2380,49827,Thiamine-responsive megaloblastic anemia syndrome,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare endocrine diseases|rare hematological diseases|rare otorhinolaryngological diseases
2381,50251,Pleural mesothelioma,rare respiratory diseases|rare neoplastic diseases
2382,50809,Talo-patello-scaphoid osteolysis,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2383,50810,Microlissencephaly-micromelia syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
2384,50811,Lipodystrophy-intellectual disability-deafness syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare endocrine diseases|rare bone diseases|rare otorhinolaryngological diseases
2385,50812,Zellweger-like syndrome without peroxisomal anomalies,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
